	GPD_id	Source	GPD_VC	Size	Predicted_phage_taxon	Host_range_isolates	Host_range_taxon	Metagenomic_runs_detected	Continents_detected	Countries_detected	checkV_MIUViG	checkV_completion	checkV_viral_region	checkV_host_region	checkV_prophage	checkV_termini	Novel
146	ivig_254	Isolate	40931	25287	Siphoviridae	GCA_003437255	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae	-1	-1	-1	Genome-fragment	73.1	1-25287	-1	No	No	Yes
147	ivig_257	Isolate	1386	25968	Podoviridae	GCA_003437255	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae	SRR5106391,ERR589595,ERR1190728,ERR1620308,ERR1018186,ERR1620310,ERR1190739,ERR589874,ERR1620302,ERR1190838,ERR589812,ERR1190656,SRR341714,SRR5091612,ERR1620297,ERR1578691,ERR589855,ERR589871,ERR1190791	Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia	China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China	Genome-fragment	64.78	1-25968	-1	No	No	Yes
151	ivig_264	Isolate	18716	17614	Siphoviridae	GCA_003466335,GCA_003467755,GCA_003463505,GCA_003463455,GCA_003437175,GCA_003436675,GCA_003467785,GCF_001025195,GCA_003463425,GCA_003463265,GCF_000771025,GCF_000154085,GCA_003437325,GCA_003459475	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium bifidum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium catenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium catenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium bifidum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	ERR1190602,ERR1190708,ERR1190707,SRR2938236,SRR4305492,SRR413741,ERR589756,SRR4305496	Asia,Asia,Asia,South America,Europe,Asia,Asia,Europe	China,China,China,Peru,Russia,China,China,Russia	High-quality	100.0	1-17614	-1	No	No	Yes
170	ivig_293	Isolate	18718	37056	Siphoviridae	GCA_003467755,GCA_003472575,GCA_003467785,GCA_003468555,GCA_003472545,GCF_000154085,GCA_003437825,GCA_003458965	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	-1	-1	-1	High-quality	98.11	1-37056	-1	No	No	Yes
171	ivig_294	Isolate	18718	37466	Siphoviridae	GCA_003467755,GCA_003472575,GCA_003437835,GCA_003468555,GCA_003467785,GCA_003472545,GCF_000154085,GCA_003458965	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	-1	-1	-1	High-quality	99.18	1-37466	-1	No	No	Yes
177	ivig_304	Isolate	40973	41268	Siphoviridae	GCA_003438095	Firmicutes/Bacilli/Staphylococcales/Staphylococcaceae/Staphylococcus/Staphylococcus warneri	ERR525691	Europe	Denmark	High-quality	95.67	1-41268	-1	No	No	Yes
182	ivig_315	Isolate	40939	19135	Siphoviridae	GCA_003438275	Actinobacteriota/Coriobacteriia/Coriobacteriales/Coriobacteriaceae/Collinsella/NA	SRR5106323	Asia	China	Genome-fragment	49.86	1-19135	-1	No	No	Yes
187	ivig_322	Isolate	1691	31374	Siphoviridae	GCA_003457975,GCF_000156635,GCA_003468265,GCF_000185665,GCA_003458335,GCF_001025155,GCA_003437995,GCA_003467905,GCA_003438405	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium angulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium longum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	DRR042429,ERR479095,SRR5091505,ERR1620360,SRR4451605,ERR688550,SRR4444805,ERR479096,SRR4444763,SRR413569,SRR413639,SRR4444766	Asia,Europe,Asia,Asia,North America,Europe,North America,Europe,North America,NA,NA,North America	Japan,France,China,China,United States,Austria,United States,France,United States,NA,NA,United States	Genome-fragment	55.43	9277-31374	1-9276	Yes	No	Yes
215	ivig_380	Isolate	41009	67096	Siphoviridae	GCA_003439135	Firmicutes/Bacilli/Bacillales/Bacillaceae_G/Bacillus_A/Bacillus_A cereus_I	-1	-1	-1	High-quality	100.0	1-67096	-1	No	No	Yes
229	ivig_407	Isolate	18697	27869	Siphoviridae	GCA_003439475,20298_2#20,GCF_000300955	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella variicola,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae	-1	-1	-1	Genome-fragment	53.04	1-27869	-1	No	No	Yes
232	ivig_410	Isolate	80	28523	Myoviridae	GCA_003439485	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	SRR341670,ERR1578670	Asia,Asia	China,China	Genome-fragment	79.48	587-28523	1-586	Yes	No	No
235	ivig_418	Isolate	40982	42664	Podoviridae	GCA_003439545	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	-1	-1	-1	High-quality	100.0	1-42664	-1	No	No	Yes
236	ivig_419	Isolate	80	24572	Myoviridae	GCA_003439545	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	ERR1620283,ERR1190574,SRR5091477,SRR4408123,ERR1620284,ERR1620260,ERR1018236,ERR1620300,SRR413718,SRR413698,ERR1190776,SRR4305290	Asia,Asia,Asia,Europe,Asia,Asia,Asia,Asia,NA,NA,Asia,Europe	China,China,China,Finland,China,China,China,China,NA,NA,China,Russia	Genome-fragment	68.33	587-24572	1-586	Yes	No	No
237	ivig_420	Isolate	10569	31532	Siphoviridae	GCA_003439565	Firmicutes/Bacilli/Lactobacillales/Lactobacillaceae/Weissella/Weissella cibaria	SRR5898997,ERR1190964	Asia,Asia	India,China	Genome-fragment	79.28	1-31532	-1	No	No	Yes
256	ivig_456	Isolate	10573	42976	Siphoviridae	GCA_003457695,GCA_003465885	Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus salivarius_C,Firmicutes/Bacilli/Lactobacillales/Streptococcaceae/Streptococcus/Streptococcus salivarius_C	SRR1196448,SRR1197533,SRR1197516	North America,North America,North America	United States,United States,United States	High-quality	100.0	1-42976	-1	No	No	Yes
263	ivig_475	Isolate	1017	22575	Siphoviridae	GCA_003457915	Firmicutes/Clostridia/Oscillospirales/DTU089/Clostridium_A/Clostridium_A leptum	ERR1018187,ERR1018228,ERR589814,ERR1620321	Asia,Asia,Asia,Asia	China,China,China,China	Genome-fragment	63.28	1-22575	-1	No	No	No
298	ivig_551	Isolate	40880	40085	Siphoviridae	GCF_000154085,GCA_003472575,GCA_003473105,GCA_003472265,GCA_003436185,GCA_003436545,GCA_003472545,GCA_003465065,GCA_003471505,GCA_003464925,GCA_003458805,GCA_003465385	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	-1	-1	-1	High-quality	100.0	1-40085	-1	No	No	Yes
310	ivig_568	Isolate	10581	32772	Myoviridae	GCA_003459015	Firmicutes/Clostridia/Clostridiales/Clostridiaceae/Clostridium/Clostridium butyricum	SRR6257509,SRR1779122,SRR3506420,SRR1779121,SRR1779123,SRR6257397,SRR6257396	North America,North America,North America,North America,North America,North America,North America	United States,United States,United States,United States,United States,United States,United States	Genome-fragment	62.97	1-30001	30002-32772	Yes	No	No
365	ivig_671	Isolate	173	40737	Podoviridae	GCA_003460245	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	SRR5106294,ERR1620307,SRR5106489,ERR1190610,ERR589551,SRR413733,ERR1620345,ERR1620292,SRR5091501,ERR589873,ERR1620287,ERR1620273,ERR1620263,SRR413738,SRR1778450,SRR5106507,ERR1190541	Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia,Asia	China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China,China	High-quality	100.0	1-40737	-1	No	No	No
375	ivig_697	Isolate	574	33412	Myoviridae	GCA_003460375	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	SRR1160763,SRR1952478	NA,NA	NA,NA	High-quality	98.83	1399-33412	1-1398	Yes	No	No
401	ivig_758	Isolate	368	34203	Siphoviridae	GCA_003461785,12718_7#65,GCA_003461215	Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans,Firmicutes/Clostridia/Oscillospirales/Ruminococcaceae/Ruminococcus_D/Ruminococcus_D bicirculans	-1	-1	-1	High-quality	100.0	1-34203	-1	No	No	No
418	ivig_791	Isolate	40902	42017	Siphoviridae	14207_7#31,GCF_001404835,13414_6#14,GCF_001404655,GCA_003461705	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus_A,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Anaerostipes/Anaerostipes hadrus_A	-1	-1	-1	High-quality	100.0	1-41061	41062-42017	Yes	No	Yes
485	ivig_970	Isolate	41674	39103	Siphoviridae	GCA_003464325,GCA_003468555,GCA_003436185,GCA_003465065,GCA_003464925,GCA_003465385	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum	SRR3737002,SRR3917690	North America,North America	United States,United States	High-quality	100.0	1-39103	-1	No	No	Yes
514	ivig_1024	Isolate	41637	39099	Siphoviridae	GCA_003464845	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudolongum_A	-1	-1	-1	Genome-fragment	86.09	4048-39099	1-4047	Yes	No	Yes
517	ivig_1031	Isolate	78	29639	Myoviridae	GCA_003464885	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Escherichia/Escherichia coli	-1	-1	-1	High-quality	93.91	1-29639	-1	No	No	No
528	ivig_1053	Isolate	18617	32422	Siphoviridae	GCA_003465125	Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus_B/Enterococcus_B durans	-1	-1	-1	Genome-fragment	83.72	1-30051	30052-32422	Yes	No	Yes
530	ivig_1056	Isolate	41644	10319	Siphoviridae	GCA_003471505,GCA_003465205,GCA_003469145,GCA_003473105	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR1018252,ERR1578648,ERR1018275,ERR1913063,ERR2013653,ERR1620369,SRR413625,SRR4052025,SRR413708,ERR2013596,SRR413705	Asia,Asia,Asia,Europe,Asia,Asia,NA,Europe,Asia,Asia,NA	China,China,China,Germany,China,China,NA,Italy,China,China,NA	Genome-fragment	16.27	1-6486	6487-10319	Yes	No	Yes
531	ivig_1057	Isolate	18618	41212	Siphoviridae	GCA_003472575,18048_1#77,GCA_003465205,GCA_003436185,GCA_003472545,GCF_000154085,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	-1	-1	-1	High-quality	100.0	1-41212	-1	No	No	Yes
536	ivig_1066	Isolate	41646	34463	Siphoviridae	GCA_003465335	Firmicutes/Bacilli/Lactobacillales/Enterococcaceae/Enterococcus_C/Enterococcus_C asini	-1	-1	-1	High-quality	99.64	1-34463	-1	No	No	Yes
557	ivig_1122	Isolate	41656	27316	Siphoviridae	GCA_003466065	Firmicutes/Bacilli/Lactobacillales/Lactobacillaceae/Weissella/Weissella confusa	-1	-1	-1	Genome-fragment	72.05	1-27316	-1	No	No	Yes
558	ivig_1125	Isolate	41678	48920	Siphoviridae	GCA_003439475,GCA_003466135	Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae,Proteobacteria/Gammaproteobacteria/Enterobacterales/Enterobacteriaceae/Klebsiella/Klebsiella pneumoniae	-1	-1	-1	High-quality	100.0	1-48920	-1	No	No	Yes
564	ivig_1133	Isolate	18644	39623	Siphoviridae	GCA_003466335,GCA_003472575,18048_1#77,GCA_003436185,GCA_003471415,GCA_003472545,GCA_003471505,GCF_000154085,18048_2#77	Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium adolescentis_B,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/Bifidobacterium pseudocatenulatum,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA,Actinobacteriota/Actinobacteria/Actinomycetales/Bifidobacteriaceae/Bifidobacterium/NA	ERR589788,SRR5091510,ERR589562,SRR5091521	Asia,Asia,Asia,Asia	China,China,China,China	High-quality	100.0	1-39623	-1	No	No	Yes
589	ivig_1184	Isolate	10626	39518	Podoviridae	GCF_900095875,GCA_003467125	Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/Caecibacter massiliensis,Firmicutes/Negativicutes/Veillonellales/Megasphaeraceae/Caecibacter/NA	ERR1578707,SRR413621,SRR413600,SRR413734	Asia,NA,NA,Asia	China,NA,NA,China	High-quality	98.35	1-39518	-1	No	No	Yes
592	ivig_1191	Isolate	18029	11047	Siphoviridae	GCA_003467225,18048_1#89,18048_2#89	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_G/Eubacterium_G ventriosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_G/Eubacterium_G ventriosum,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Eubacterium_G/Eubacterium_G ventriosum	SRR413575,SRR5032354,SRR5279269	NA,Asia,Asia	NA,China,China	Genome-fragment	-1.0	1-11047	-1	No	No	Yes
593	ivig_1194	Isolate	7057	14969	Siphoviridae	GCA_003458535,GCA_003467265	Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans,Firmicutes/Clostridia/Lachnospirales/Lachnospiraceae/Roseburia/Roseburia inulinivorans	ERR1018285,SRR341628,ERR1190785,ERR636416,ERR589858,ERR1190851	Asia,Asia,Asia,Europe,Asia,Asia	China,China,China,Sweden,China,China	Genome-fragment	35.3	1-14969	-1	No	No	Yes
